DateTimeYear,index,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite
14 December 23:04-2002,"3115, 3116, 3117, 3118, 3119, 3120, 3121",H-IIA 202,"Adeos 2, Mu-Labsat, RITE, FedSat, WEOS (Kanta-Kun), RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC","NASDA, Centre for Satellite Systems, Chiba Institute of Technology, RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC","LEO, RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC","Environmental research, Technology development, Communications, Whale monitoring, RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC","In orbit, RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC","Operational, RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC",,
17 December 23:04-2002,3123,Ariane 4 44L,NSS-6,SES New Skies,GEO,Communications,In orbit,Operational,,
20 December 17:00-2002,"3125, 3126, 3127, 3128, 3129",Dnepr,"LatinSat 1, LatinSat 2, SaudiSat 1S, UniSat 2, Rubin 2","Aprize, RSRI, University of Rome La Sapienza, OHB System",LEO,"Communications, Technology development",In orbit,Operational,,
24 December 12:20-2002,3131,Molniya-M/Blok 2BL,Kosmos 2393 (US-K #82),VKS,Molniya,Missile early warning,22 December 2013,Successful,,
25 December 10:37-2002,"3133, 3134, 3135",Proton-K/DM-2,"Kosmos 2394 (GLONASS), Kosmos 2395 (GLONASS), Kosmos 2396 (GLONASS)",KNITs,MEO,Navigation,In orbit,Operational,,
29 December 16:40-2002,"3137, 3138",Long March 2F,"Shenzhou 4, Shenzhou spacecraft orbital module",CMSA,LEO,Test spacecraft,"5 January 2003 11:16, 9 September 2003",Successful,,
29 December 23:16-2002,3140,Proton-M/Briz-M,Nimiq 2,Telesat,GEO,Communications,In orbit,Operational,,
6 January 14:19-2003,3143,Titan 23G,Coriolis,US Air Force,LEO,Technology development,In orbit,Operational,,
13 January 00:45-2003,"3145, 3146, 3147",Delta II 7320-10C,"ICESat, CHIPSat, Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.","NASA, Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.","LEO, Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.","Oceanography, Astrophysics, Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.","30 August 2010 09:00[2], In orbit, Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.","Partial spacecraft failure, Operational, Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.",,
16 January 20:39-2003,"3149, 3150, 3151, 3152",Space Shuttle Columbia,"STS-107, Spacehab-RDM, EDO Pallet, Crewed orbital flight with 7 astronauts, including the first Israeli space traveler","NASA, Crewed orbital flight with 7 astronauts, including the first Israeli space traveler Final flight of Space Shuttle Columbia, disintegrated during re-entry resulting in loss of crew and vehicle.","LEO, LEO (Columbia), Crewed orbital flight with 7 astronauts, including the first Israeli space traveler Final flight of Space Shuttle Columbia, disintegrated during re-entry resulting in loss of crew and vehicle.","Research, Microgravity and Earth science research, Cryogenic mission duration extension pallet, Crewed orbital flight with 7 astronauts, including the first Israeli space traveler Final flight of Space Shuttle Columbia, disintegrated during re-entry resulting in loss of crew and vehicle.","1 February 13:59, Crewed orbital flight with 7 astronauts, including the first Israeli space traveler Final flight of Space Shuttle Columbia, disintegrated during re-entry resulting in loss of crew and vehicle.","Failure, Crewed orbital flight with 7 astronauts, including the first Israeli space traveler Final flight of Space Shuttle Columbia, disintegrated during re-entry resulting in loss of crew and vehicle.",Final flight,
25 January 20:13-2003,3154,Pegasus-XL,SORCE,NASA,LEO,investigate total solar irradiance,In orbit,Operational,,
29 January 18:06-2003,"3156, 3157, 3158",Delta II 7925-9.5,"GPS IIR-8 (USA-166), XSS-10, XSS-10 deactivated 30 January 2003","US Air Force, XSS-10 deactivated 30 January 2003","MEO, LEO, XSS-10 deactivated 30 January 2003","Navigation, Technology demonstration, XSS-10 deactivated 30 January 2003","In orbit, XSS-10 deactivated 30 January 2003","Operational, Successful, XSS-10 deactivated 30 January 2003",,
2 February 12:59-2003,"3161, 3162",Soyuz-U,"Progress M-47, ISS flight 10P","Roskosmos, ISS flight 10P","LEO (ISS), ISS flight 10P","Logistics, ISS flight 10P","27 August, ISS flight 10P","Successful, ISS flight 10P",,
15 February 07:00-2003,"3164, 3165",Ariane 4 44L,"Intelsat 907, ","Intelsat, Final flight of Ariane 4 44L","GEO, Final flight of Ariane 4 44L","Communications, Final flight of Ariane 4 44L","In orbit, Final flight of Ariane 4 44L","Operational, Final flight of Ariane 4 44L",Final flight,
11 March 00:59-2003,3168,Delta IV Medium,DSCS III A-3 (USA-167),US Air Force,GEO,Communications,In orbit,Operational,,
28 March 01:27-2003,"3171, 3172, 3173",H-IIA 2024,"IGS-1A, IGS-1B, IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]","Japanese Government, IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]","LEO, IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]","Reconnaissance, IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]","18 July 2014, 26 July 2012, IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]","Successful, Partial spacecraft failure, IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]",,
31 March 22:09-2003,3175,Delta II 7925-9.5,GPS IIR-9 (USA-168),US Air Force,MEO,Navigation,In orbit,Operational,,
2 April 01:53-2003,3178,Molniya-M,Molniya 1-92,VKS,Molniya,Communications,In orbit,Operational,,
8 April 14:43-2003,3180,Titan IVB (401)/Centaur,Milstar 6 (USA-169),US Air Force,GEO,Communications,In orbit,Operational,,
9 April 22:52-2003,"3182, 3183",Ariane 5G,"INSAT 3A, Galaxy 12","ISRO, PanAmSat",GEO,Communications,In orbit,Operational,,
12 April 00:47-2003,3185,Atlas IIIB,AsiaSat 4,AsiaSat,GEO,Communications,In orbit,Operational,,
26 April 03:53-2003,"3187, 3188",Soyuz-FG,"Soyuz TMA-2, Crewed orbital flight with 2 cosmonauts","Roskosmos, Crewed orbital flight with 2 cosmonauts","LEO (ISS), Crewed orbital flight with 2 cosmonauts","ISS Expedition 7, Crewed orbital flight with 2 cosmonauts","28 October, Crewed orbital flight with 2 cosmonauts","Successful, Crewed orbital flight with 2 cosmonauts",,
24 April 04:23-2003,3190,Proton-K/DM-2,Kosmos 2397,VKS,GEO,Missile warning,In orbit,Operational,,
28 April 12:00-2003,3192,Pegasus-XL,GALEX,NASA,LEO,Ultraviolet astronomy,In orbit,Operational,,
8 May 11:28-2003,3195,GSLV,GSAT-2,ISRO,GEO,Communications,In orbit,Operational,,
9 May 04:29-2003,"3197, 3198, 3199",M-V,"Hayabusa (MUSES-C), MINERVA, Explored asteroid 1998 SF36","ISAS, Explored asteroid 1998 SF36","Heliocentric, Explored asteroid 1998 SF36","Asteroid sample-return probe, Asteroid lander, Explored asteroid 1998 SF36","13 June 2010, In orbit, Explored asteroid 1998 SF36","Partial spacecraft failure, Spacecraft failure, Explored asteroid 1998 SF36",,
13 May 22:10-2003,"3201, 3202",Atlas V 401,"HellasSat 2, First Greek satellite","Hellas-Sat, First Greek satellite","GEO, First Greek satellite","Communications, First Greek satellite","In orbit, First Greek satellite","Operational, First Greek satellite",,
24 May 16:34-2003,3204,Long March 3A,Beidou 2A,,GEO,Navigation,In orbit,Operational,,
2 June 17:45-2003,"3207, 3208",Soyuz-FG/Fregat,"Mars Express, Beagle 2",ESA,"Areocentric, Heliocentric","Mars probe, Mars lander","In orbit, 25 December 2003","Operational, Spacecraft failure",,
4 June 19:23-2003,3211,Kosmos-3M,Kosmos 2398,MO RF,LEO,,In orbit,Operational,,
6 June 22:15-2003,3213,Proton-K/Briz-M,AMC-9,SES Americom,GEO,Communications,In orbit,Operational,,
8 June 10:34-2003,"3215, 3216",Soyuz-U,"Progress M1-10, ISS flight 11P","Roskosmos, ISS flight 11P","LEO (ISS), ISS flight 11P","Logistics Earth observation, ISS flight 11P","3 October, ISS flight 11P","Successful, ISS flight 11P",,
10 June 13:55-2003,3218,Zenit-3SL,Thuraya 2,Thuraya,GEO,Communications,In orbit,Operational,,
10 June 17:58-2003,"3220, 3221",Delta II 7925,"Spirit (MER-A/MER-2), Spirit lander",NASA,Heliocentric,"Mars rover, Mars lander",4 January 2004,"Operational, Successful",,
11 June 22:38-2003,"3223, 3224",Ariane 5G,"Optus C1, BSAT-2C","Optus/Australian Government, BSAT",GEO,Communications,In orbit,Operational,,
19 June 20:00-2003,3226,Molniya-M,Molniya 3-53,VKS,Molniya,Communications,In orbit,Operational,,
26 June 18:55-2003,"3228, 3229",Pegasus-XL,"Orbview 3, Ceased operations on 4 March 2007 after camera malfunction","Orbview, Ceased operations on 4 March 2007 after camera malfunction","LEO, Ceased operations on 4 March 2007 after camera malfunction","Imaging, Ceased operations on 4 March 2007 after camera malfunction","3 March 2011, Ceased operations on 4 March 2007 after camera malfunction","Satellite failure, Ceased operations on 4 March 2007 after camera malfunction",,
30 June 14:15-2003,"3231, 3232, 3233, 3234, 3235, 3236, 3237, 3238, 3239, 3240, 3241, 3242",Rokot/Briz-KM,"MIMOSA, DTUSat, MOST, Cute-I, QuakeSat, AAU-Cubesat, Can X-1, Cubesat XI, Cubesat XII, Cubesat XIII, Cubesat XIV, Monitor-E",Stanford University,LEO,"Space telescope, Earth observation","18 December 2011, In orbit","Successful, Operational",,
8 July 04:18-2003,"3245, 3246",Delta II 7925H,"Opportunity (MER-B/MER-1), Opportunity lander",NASA,Heliocentric,"Mars rover, Mars lander",In orbit,"Operational, Successful",,
17 July 23:45-2003,3249,Atlas V 521,Rainbow-1,Cablevision,GEO,Communications,In orbit,Operational,,
8 August 03:31-2003,3253,Zenit-3SL,Echostar 9 (Telstar 13),EchoStar,GEO,Communications,In orbit,Operational,,
12 August 14:20-2003,"3255, 3256",Soyuz-U,"Kosmos 2399, Film capsule failed to deorbit",Film capsule failed to deorbit,"LEO, Film capsule failed to deorbit","Reconnaissance, Film capsule failed to deorbit","9 December, Film capsule failed to deorbit","Failure, Film capsule failed to deorbit",,
13 August 02:09-2003,3258,Pegasus-XL,SCISAT-1,CSA,LEO,Atmospheric research,In orbit,Operational,,
19 August 10:50-2003,"3260, 3261",Kosmos-3M,"Kosmos 2400 (Strela 3), Kosmos 2401 (Strela 3)",,LEO,,In orbit,Operational,,
22 August 16:30-2003,"3263, 3264, 3265",VLS-1,"SATEC, UNOSAT, Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","INPE, Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","Intended: LEO, Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","Launch vehicle evaluation, Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","Never left ground, Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","Precluded, Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.",,
25 August 05:35-2003,3267,Delta II 7920H,Spitzer Space Telescope (SIRTF),NASA,Heliocentric,Infrared astronomy,In orbit,Operational,,
29 August 01:47-2003,"3269, 3270",Soyuz-U,"Progress M-48, ISS flight 12P","Roskosmos, ISS flight 12P","LEO (ISS), ISS flight 12P","Logistics, ISS flight 12P","28 January 2004, ISS flight 12P","Successful, ISS flight 12P",,
29 August 23:13-2003,3272,Delta IV Medium,DSCS III B-6 (USA-170),US Air Force,GEO,Communications,In orbit,Operational,,
9 September 04:29-2003,"3275, 3276",Titan IVB (401)/Centaur,"USA-171 / Orion 5, NROL-26 mission.","NRO, NROL-26 mission.","GEO, NROL-26 mission.","ELINT, NROL-26 mission.","In orbit, NROL-26 mission.","Operational, NROL-26 mission.",,
16 September-2003,"3278, 3279",Kaituozhe-1,"PS-2, Fourth stage failed to ignite",Fourth stage failed to ignite,"Intended: LEO, Fourth stage failed to ignite","Microsat, Fourth stage failed to ignite","16 September, Fourth stage failed to ignite","Launch failure, Fourth stage failed to ignite",,
27 September 06:11-2003,"3281, 3282, 3283, 3284, 3285, 3286, 3287, 3288",Kosmos-3M,"Mozhaets-4, NigeriaSat-1, UK-DMC, BILSAT-1, Larets, STSat-1, Rubin-4-DSI, NigeriaSat-1 is the first Nigerian satellite",NigeriaSat-1 is the first Nigerian satellite,"LEO, NigeriaSat-1 is the first Nigerian satellite",NigeriaSat-1 is the first Nigerian satellite,"In orbit, NigeriaSat-1 is the first Nigerian satellite","Operational, NigeriaSat-1 is the first Nigerian satellite",,
27 September 23:14-2003,"3290, 3291, 3292, 3293",Ariane 5G,"Eurobird 3, INSAT 3E, SMART-1, ","Eutelsat, ISRO, ESA, Final flight of Ariane 5G","GEO, Selenocentric, Final flight of Ariane 5G","Communications, Lunar probe, Final flight of Ariane 5G","In orbit, 27 September 2006 05:42:22, Final flight of Ariane 5G","Operational, Successful[4], Successful, Final flight of Ariane 5G",Final flight,
1 October 04:02-2003,3296,Zenit-3SL,Galaxy 13 (Horizons 1),PanAmSat,GEO,Communications,In orbit,operational,,
15 October 01:00-2003,"3298, 3299, 3300",Long March 2F,"Shenzhou 5, Shenzhou spacecraft orbital module, Crewed orbital flight with 1 astronaut (Yang Liwei), first Chinese space traveller and indigenous crewed spaceflight","CMSA, Crewed orbital flight with 1 astronaut (Yang Liwei), first Chinese space traveller and indigenous crewed spaceflight","LEO, Crewed orbital flight with 1 astronaut (Yang Liwei), first Chinese space traveller and indigenous crewed spaceflight","Reconnaissance, Crewed orbital flight with 1 astronaut (Yang Liwei), first Chinese space traveller and indigenous crewed spaceflight","15 October 22:53, 30 May 2004, Crewed orbital flight with 1 astronaut (Yang Liwei), first Chinese space traveller and indigenous crewed spaceflight","Successful, Crewed orbital flight with 1 astronaut (Yang Liwei), first Chinese space traveller and indigenous crewed spaceflight",,
17 October 04:54-2003,3302,PSLV,RESOURCESAT-1 (IRS-P6),ISRO,LEO,Earth observation,In orbit,Operational,,
18 October 05:38-2003,"3304, 3305",Soyuz-FG,"Soyuz TMA-3, Crewed orbital flight with 3 cosmonauts","Roskosmos, Crewed orbital flight with 3 cosmonauts","LEO (ISS), Crewed orbital flight with 3 cosmonauts","ISS Expedition 8, Crewed orbital flight with 3 cosmonauts","30 April 2004, Crewed orbital flight with 3 cosmonauts","Successful, Crewed orbital flight with 3 cosmonauts",,
18 October 16:17-2003,"3307, 3308",Titan 23G/Star 37,"DMSP 5D-2 (USA-172), ","US Air Force, Final flight of Titan 23G","LEO, Final flight of Titan 23G","Weather satellite, Final flight of Titan 23G","In orbit, Final flight of Titan 23G","Operational, Final flight of Titan 23G",Final flight,
21 October 03:16-2003,"3310, 3311",Long March 4B,"Zi Yuan 1-2 (CBERS-2), Chuangxin-1","CAAC/INPE, CAS",LEO,"Earth resources, Communications",In orbit,Operational,,
30 October 13:43-2003,3313,Rockot/Briz-KM,SERVIS-1,,LEO,,In orbit,Operational,,
3 November 07:20-2003,3316,Long March 2D,FSW-18 (FSW-3),SAST,LEO,Imaging,18 December,Successful,,
14 November 16:34-2003,3318,Long March 3A,Zhongxing 20,,GEO,Communications,In orbit,Operational,,
