Rocket,Payload,Operator,Orbit,Function,Decay,FlightNumberInfo,LaunchSite,Success,Rocket_ID,Year,Month,DayOfWeek,Hour
Soyuz-U,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,,,0,288,1999.0,2.0,5.0,4.0
Delta II 7920-10,ARGOS,US Air Force,Sun-synchronous,Technology development,In orbit,,,1,82,1999.0,2.0,1.0,10.0
Delta II 7920-10,Ørsted,DMI,ARGOS was retired on 31 July 2003 Ørsted was the first Danish satellite and SUNSAT was the first South African satellite,Magnetosphere research,ARGOS was retired on 31 July 2003 Ørsted was the first Danish satellite and SUNSAT was the first South African satellite,,,1,82,1999.0,2.0,1.0,10.0
Delta II 7920-10,SUNSAT,Stellenbosch,ARGOS was retired on 31 July 2003 Ørsted was the first Danish satellite and SUNSAT was the first South African satellite,Technology demonstration,ARGOS was retired on 31 July 2003 Ørsted was the first Danish satellite and SUNSAT was the first South African satellite,,,0,82,1999.0,2.0,1.0,10.0
Delta II 7920-10,ARGOS was retired on 31 July 2003 Ørsted was the first Danish satellite and SUNSAT was the first South African satellite,ARGOS was retired on 31 July 2003 Ørsted was the first Danish satellite and SUNSAT was the first South African satellite,ARGOS was retired on 31 July 2003 Ørsted was the first Danish satellite and SUNSAT was the first South African satellite,ARGOS was retired on 31 July 2003 Ørsted was the first Danish satellite and SUNSAT was the first South African satellite,ARGOS was retired on 31 July 2003 Ørsted was the first Danish satellite and SUNSAT was the first South African satellite,,,0,82,1999.0,2.0,1.0,10.0
Ariane 4 44L,Arabsat 3A,Arabsat,GEO,Communications,In orbit,,,1,16,1999.0,2.0,4.0,22.0
Ariane 4 44L,Skynet 4E,MoD,GEO,Communications,In orbit,,,1,16,1999.0,2.0,4.0,22.0
Proton-K/DM-2,Raduga-1,MO RF,GEO,Communications,In orbit,,,1,230,1999.0,2.0,6.0,4.0
Pegasus-XL,WIRE,NASA,LEO,Infrared astronomy,10 May 2011,,,0,210,1999.0,3.0,4.0,2.0
Pegasus-XL,Coolant leak resulted in loss of control in orbit,Coolant leak resulted in loss of control in orbit,Coolant leak resulted in loss of control in orbit,Coolant leak resulted in loss of control in orbit,Coolant leak resulted in loss of control in orbit,,,0,210,1999.0,3.0,4.0,2.0
Soyuz-U/Ikar,Globalstar 22,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,3.0,0.0,3.0
Soyuz-U/Ikar,Globalstar 41,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,3.0,0.0,3.0
Soyuz-U/Ikar,Globalstar 46,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,3.0,0.0,3.0
Soyuz-U/Ikar,Globalstar 37,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,3.0,0.0,3.0
Proton-K/DM-2M,AsiaSat 3S,AsiaSat,GEO,Communications,In orbit,,,1,231,1999.0,3.0,6.0,0.0
Zenit-3SL,DemoSat,Sea Launch,GEO transfer,Test launch vehicle,In orbit,,,1,353,1999.0,3.0,6.0,1.0
Soyuz-U,Progress M-41,Roskosmos,LEO (Mir),Logistics,17 July 19:51,,,1,288,1999.0,4.0,4.0,11.0
Soyuz-U,Sputnik 99,AMSAT,LEO,Communications,29 July,,,0,288,1999.0,4.0,4.0,11.0
Soyuz-U,Sputnik 99 deployed from Mir during EVA on 16 April,Sputnik 99 deployed from Mir during EVA on 16 April,Sputnik 99 deployed from Mir during EVA on 16 April,Sputnik 99 deployed from Mir during EVA on 16 April,Sputnik 99 deployed from Mir during EVA on 16 April,,,0,288,1999.0,4.0,4.0,11.0
Ariane 4 42P,INSAT-2E,ISRO,GEO,Communications,In orbit,,,1,15,1999.0,4.0,4.0,22.0
Titan IVB (402)/IUS,USA-142 (DSP-19),US Air Force,Intended: GEO Achieved: GEO transfer,Early warning,In orbit,,,0,336,1999.0,4.0,4.0,17.0
Titan IVB (402)/IUS,Final Titan launch from SLC-41 IUS second stage failed to separate,Final Titan launch from SLC-41 IUS second stage failed to separate,Final Titan launch from SLC-41 IUS second stage failed to separate,Final Titan launch from SLC-41 IUS second stage failed to separate,Final Titan launch from SLC-41 IUS second stage failed to separate,,,0,336,1999.0,4.0,4.0,17.0
Atlas IIAS,Eutelsat W3,Eutelsat,GEO,Communications,In orbit,,,1,40,1999.0,4.0,0.0,22.0
Soyuz-U/Ikar,Globalstar 45,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,4.0,3.0,0.0
Soyuz-U/Ikar,Globalstar 19,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,4.0,3.0,0.0
Soyuz-U/Ikar,Globalstar 44,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,4.0,3.0,0.0
Soyuz-U/Ikar,Globalstar 42,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,4.0,3.0,0.0
Delta II 7920-10,Landsat 7,NASA/USGS,LEO,Remote sensing,In orbit,,,1,82,1999.0,4.0,3.0,18.0
Dnepr,UoSAT-12,Surrey Satellite Technology,LEO,Technology development,In orbit,,,1,111,1999.0,4.0,2.0,4.0
Athena II,IKONOS 1,Space Imaging,Intended: Sun-synchronous,Earth imaging,27 April,,,0,31,1999.0,4.0,1.0,18.0
Athena II,Payload fairing failed to separate; Failed to orbit due to additional weight of the fairing,Payload fairing failed to separate; Failed to orbit due to additional weight of the fairing,Payload fairing failed to separate; Failed to orbit due to additional weight of the fairing,Payload fairing failed to separate; Failed to orbit due to additional weight of the fairing,Payload fairing failed to separate; Failed to orbit due to additional weight of the fairing,,,0,31,1999.0,4.0,1.0,18.0
Kosmos-3M,ABRIXAS,DLR,LEO,X-ray astronomy,In orbit,,,0,141,1999.0,4.0,2.0,20.0
Kosmos-3M,Megsat-0,MegSat,ABRIXAS' power system failed three days after launch,Communications,4 October 2003,,,1,141,1999.0,4.0,2.0,20.0
Kosmos-3M,ABRIXAS' power system failed three days after launch,ABRIXAS' power system failed three days after launch,ABRIXAS' power system failed three days after launch,ABRIXAS' power system failed three days after launch,ABRIXAS' power system failed three days after launch,,,0,141,1999.0,4.0,2.0,20.0
Titan IVB (401)/Centaur,USA-143 (Milstar-3),US Air Force,Intended: GEO Achieved: MEO,Communications,In orbit,,,0,334,1999.0,4.0,4.0,16.0
Titan IVB (401)/Centaur,Centaur programming error led to three burns in a 90 minute period which were intended to be performed over a six-hour period. Payload stranded in a useless orbit.,Centaur programming error led to three burns in a 90 minute period which were intended to be performed over a six-hour period. Payload stranded in a useless orbit.,Centaur programming error led to three burns in a 90 minute period which were intended to be performed over a six-hour period. Payload stranded in a useless orbit.,Centaur programming error led to three burns in a 90 minute period which were intended to be performed over a six-hour period. Payload stranded in a useless orbit.,Centaur programming error led to three burns in a 90 minute period which were intended to be performed over a six-hour period. Payload stranded in a useless orbit.,,,0,334,1999.0,4.0,4.0,16.0
Delta III 8930,Orion 3,Loral Orion,Intended: GEO Achieved: MEO,Communications,In orbit,,,0,95,1999.0,5.0,2.0,1.0
Delta III 8930,Upper stage engine failure resulted in payload being stranded in a useless orbit,Upper stage engine failure resulted in payload being stranded in a useless orbit,Upper stage engine failure resulted in payload being stranded in a useless orbit,Upper stage engine failure resulted in payload being stranded in a useless orbit,Upper stage engine failure resulted in payload being stranded in a useless orbit,,,0,95,1999.0,5.0,2.0,1.0
Long March 4B,Feng Yun 1C,CASC,Sun-synchronous,Weather satellite,12 January 2007,,,1,173,1999.0,5.0,0.0,1.0
Long March 4B,Shijian 5,CASC,Sun-synchronous,Magnetosphere research,In orbit,,,1,173,1999.0,5.0,0.0,1.0
Pegasus-XL/HAPS,TERRIERS,NASA/Boston,LEO,Ionosphere research,In orbit,,,0,211,1999.0,5.0,1.0,5.0
Pegasus-XL/HAPS,MUBLCOM,DARPA/US Army,TERRIERS solar panel failed to track the sun and the satellite's batteries exhausted their power supply on 20 May MUBLCOM collided with DART but is still operational.,Communications,TERRIERS solar panel failed to track the sun and the satellite's batteries exhausted their power supply on 20 May MUBLCOM collided with DART but is still operational.,,,1,211,1999.0,5.0,1.0,5.0
Pegasus-XL/HAPS,TERRIERS solar panel failed to track the sun and the satellite's batteries exhausted their power supply on 20 May MUBLCOM collided with DART but is still operational.,TERRIERS solar panel failed to track the sun and the satellite's batteries exhausted their power supply on 20 May MUBLCOM collided with DART but is still operational.,TERRIERS solar panel failed to track the sun and the satellite's batteries exhausted their power supply on 20 May MUBLCOM collided with DART but is still operational.,TERRIERS solar panel failed to track the sun and the satellite's batteries exhausted their power supply on 20 May MUBLCOM collided with DART but is still operational.,TERRIERS solar panel failed to track the sun and the satellite's batteries exhausted their power supply on 20 May MUBLCOM collided with DART but is still operational.,,,0,211,1999.0,5.0,1.0,5.0
Proton-K/DM-2M,Nimiq 1,Telesat,GEO,Communications,In orbit,,,1,231,1999.0,5.0,3.0,22.0
Titan IVB (404),USA-144 (Misty-2),NRO,MEO,Reconnaissance,In orbit,,,1,338,1999.0,5.0,5.0,9.0
PSLV,Oceansat-1,ISRO,Sun-synchronous,Oceanography,In orbit,,,1,201,1999.0,5.0,2.0,6.0
PSLV,Kitsat-3,KAIST,Sun-synchronous,Technology development,In orbit,,,1,201,1999.0,5.0,2.0,6.0
PSLV,DLR-Tubsat,DLR,Sun-synchronous,Technology development,In orbit,,,1,201,1999.0,5.0,2.0,6.0
Space Shuttle Discovery,STS-96,NASA,LEO (ISS),ISS assembly,6 June 06:02,,,1,300,1999.0,5.0,3.0,10.0
Space Shuttle Discovery,SpaceHab Double Module,NASA/SpaceHab,LEO (Discovery),Logistics,18 February 2000,,,0,300,1999.0,5.0,3.0,10.0
Space Shuttle Discovery,STARSHINE,NASA/NRL,LEO,Observation target,Crewed orbital flight with seven astronauts Starshine deployed from Discovery at 07:21 UTC on 5 June,,,0,300,1999.0,5.0,3.0,10.0
Space Shuttle Discovery,Crewed orbital flight with seven astronauts Starshine deployed from Discovery at 07:21 UTC on 5 June,Crewed orbital flight with seven astronauts Starshine deployed from Discovery at 07:21 UTC on 5 June,Crewed orbital flight with seven astronauts Starshine deployed from Discovery at 07:21 UTC on 5 June,Crewed orbital flight with seven astronauts Starshine deployed from Discovery at 07:21 UTC on 5 June,Crewed orbital flight with seven astronauts Starshine deployed from Discovery at 07:21 UTC on 5 June,,,0,300,1999.0,5.0,3.0,10.0
Delta II 7420-10C,Globalstar 25,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,6.0,3.0,13.0
Delta II 7420-10C,Globalstar 49,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,6.0,3.0,13.0
Delta II 7420-10C,Globalstar 47,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,6.0,3.0,13.0
Delta II 7420-10C,Globalstar 52,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,6.0,3.0,13.0
Long March 2C,Iridium 14A,Iridium,LEO,Communications,15 March 2019[6],,,1,151,1999.0,6.0,4.0,17.0
Long March 2C,Iridium 21A,Iridium,LEO,Communications,24 May 2018[7],,,1,151,1999.0,6.0,4.0,17.0
Proton-K/DM-2M,Astra 1H,SES Astra,GEO,Communications,In orbit,,,1,231,1999.0,6.0,4.0,1.0
Titan 23G,QuickSCAT,NASA/NOAA,Sun-synchronous,Oceanography,In orbit,,,1,322,1999.0,6.0,6.0,2.0
Delta II 7320-10,FUSE,NASA,LEO,Ultraviolet astronomy,In orbit,,,1,72,1999.0,6.0,3.0,15.0
Proton-K/Briz-M,Raduga,RVSN,Intended: GEO,Communications,5 July +45 seconds,,,0,227,1999.0,7.0,0.0,13.0
Molniya-M,Molniya 3–50,MO RF,Molniya,Communications,In orbit,,,1,192,1999.0,7.0,3.0,8.0
Delta II 7420-10C,Globalstar 35,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,7.0,5.0,8.0
Delta II 7420-10C,Globalstar 32,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,7.0,5.0,8.0
Delta II 7420-10C,Globalstar 51,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,7.0,5.0,8.0
Delta II 7420-10C,Globalstar 30,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,7.0,5.0,8.0
Soyuz-U,Progress M-42,Roskosmos,LEO (Mir),Logistics,2 February 2000 06:10,,,1,288,1999.0,7.0,4.0,16.0
Zenit-2,Okean-O,RAKA/NKAU,LEO,Oceanography,In orbit,,,1,349,1999.0,7.0,5.0,6.0
Space Shuttle Columbia,STS-93,NASA,LEO,Satellite deployment,28 July 03:20,,,1,298,1999.0,7.0,4.0,4.0
Space Shuttle Columbia,Chandra X-ray Observatory,Crewed orbital flight with five astronauts First Shuttle mission with female commander (Eileen Collins) Engine control failures and fuel leak during ascent resulted in lower orbit than planned and IUS underperformance resulted in lower orbit than planned for Chandra,High Earth,X-ray astronomy,In orbit,,,1,298,1999.0,7.0,4.0,4.0
Space Shuttle Columbia,Crewed orbital flight with five astronauts First Shuttle mission with female commander (Eileen Collins) Engine control failures and fuel leak during ascent resulted in lower orbit than planned and IUS underperformance resulted in lower orbit than planned for Chandra,IPS used to raise orbit,Crewed orbital flight with five astronauts First Shuttle mission with female commander (Eileen Collins) Engine control failures and fuel leak during ascent resulted in lower orbit than planned and IUS underperformance resulted in lower orbit than planned for Chandra,Crewed orbital flight with five astronauts First Shuttle mission with female commander (Eileen Collins) Engine control failures and fuel leak during ascent resulted in lower orbit than planned and IUS underperformance resulted in lower orbit than planned for Chandra,Crewed orbital flight with five astronauts First Shuttle mission with female commander (Eileen Collins) Engine control failures and fuel leak during ascent resulted in lower orbit than planned and IUS underperformance resulted in lower orbit than planned for Chandra,,,0,298,1999.0,7.0,4.0,4.0
Space Shuttle Columbia,IPS used to raise orbit,reducing lifespan Chandra deployed by Columbia at 11:47 UTC on 23 July,IPS used to raise orbit,IPS used to raise orbit,IPS used to raise orbit,,,0,298,1999.0,7.0,4.0,4.0
Space Shuttle Columbia,reducing lifespan Chandra deployed by Columbia at 11:47 UTC on 23 July,reducing lifespan Chandra deployed by Columbia at 11:47 UTC on 23 July,reducing lifespan Chandra deployed by Columbia at 11:47 UTC on 23 July,reducing lifespan Chandra deployed by Columbia at 11:47 UTC on 23 July,reducing lifespan Chandra deployed by Columbia at 11:47 UTC on 23 July,,,0,298,1999.0,7.0,4.0,4.0
Delta II 7420-10C,Globalstar 48,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,7.0,6.0,7.0
Delta II 7420-10C,Globalstar 26,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,7.0,6.0,7.0
Delta II 7420-10C,Globalstar 43,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,7.0,6.0,7.0
Delta II 7420-10C,Globalstar 28,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,7.0,6.0,7.0
Ariane 4 42P,Telkom 1,PT Telkom,GEO,Communications,In orbit,,,1,15,1999.0,8.0,3.0,22.0
Delta II 7420-10C,Globalstar 24,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,8.0,1.0,4.0
Delta II 7420-10C,Globalstar 27,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,8.0,1.0,4.0
Delta II 7420-10C,Globalstar 54,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,8.0,1.0,4.0
Delta II 7420-10C,Globalstar 53,Globalstar,LEO,Communications,In orbit,,,1,77,1999.0,8.0,1.0,4.0
Soyuz-U,Kosmos 2365 (Yantar-4K1),MO RF,LEO,Reconnaissance,15 December,,,1,288,1999.0,8.0,2.0,18.0
Kosmos-3M,Kosmos 2366 (Parus),MO RF,LEO,Navigation,In orbit,,,1,141,1999.0,8.0,3.0,12.0
Ariane 4 42P,Koreasat 3,Korea Telecom,GEO,Communications,In orbit,,,1,15,1999.0,9.0,5.0,22.0
Proton-K/DM-2M,Yamal 101,Gazcom,Operational: GEO Current: Graveyard,Communications,In orbit,,,0,231,1999.0,9.0,0.0,16.0
Proton-K/DM-2M,Yamal 102,Gazcom,GEO,Communications,In orbit,,,1,231,1999.0,9.0,0.0,16.0
Soyuz-U,Foton 12,RAKA/ESA,LEO,Microgravity research,24 September,,,1,288,1999.0,9.0,3.0,18.0
Soyuz-U/Ikar,Globalstar 58,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,9.0,2.0,14.0
Soyuz-U/Ikar,Globalstar 50,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,9.0,2.0,14.0
Soyuz-U/Ikar,Globalstar 33,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,9.0,2.0,14.0
Soyuz-U/Ikar,Globalstar 55,Globalstar,LEO,Communications,In orbit,,,1,291,1999.0,9.0,2.0,14.0
Atlas IIAS,Echostar 5,EchoStar,GEO,Communications,In orbit,,,1,40,1999.0,9.0,3.0,6.0
Athena II,Ikonos 2,Space Imaging,Sun-synchronous,Earth imaging,In orbit,Final flight,,1,31,1999.0,9.0,4.0,18.0
Athena II,,Final flight of Athena II,Final flight of Athena II,Final flight of Athena II,Final flight of Athena II,Final flight,,0,31,1999.0,9.0,4.0,18.0
Ariane 4 44P,Telstar 7,Loral Skynet,GEO,Communications,In orbit,,,1,18,1999.0,9.0,5.0,6.0
