DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year
,Proton-K/DM-2M,Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.,Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.,Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.,Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.,Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.,Upper stage malfunction resulted in satellite being placed into an unusable parking orbit. Intentionally de-orbited.,2002
,Kosmos-3M,AlSat-1,CNTS,Low Earth,Disaster monitoring,In orbit,Operational,2002
,Kosmos-3M,Mozhayets-3,Mozhaisky,Low Earth,Technology demonstration,In orbit,Operational,2002
,Kosmos-3M,Rubin-3-DSI,OHB System,Low Earth,Measure carrier rocket performance,In orbit,Successful,2002
,Kosmos-3M,"AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage","AlSat was first Algerian satellite, Rubin intentionally remained attached to upper stage",2002
,Atlas IIA,TDRS-10 (TDRS-J),NASA,Geosynchronous,Communications,In orbit,Operational,2002
,Atlas IIA,Final flight of Atlas IIA,Final flight of Atlas IIA,Final flight of Atlas IIA,Final flight of Atlas IIA,Final flight of Atlas IIA,Final flight of Atlas IIA,2002
,Ariane 5ECA,Hot Bird 7,Eutelsat,Intended: Geosynchronous,Communications,T+178 seconds,Launch failure,2002
,Ariane 5ECA,Stentor,Eutelsat,Intended: Geosynchronous,Communications,T+178 seconds,Launch failure,2002
,H-IIA 202,Adeos 2,NASDA,Low Earth,Environmental research,In orbit,Operational,2002
,H-IIA 202,Mu-Labsat,NASDA,Low Earth,Technology development,In orbit,Operational,2002
,H-IIA 202,RITE,NASDA,Low Earth,Technology development,In orbit,Operational,2002
,H-IIA 202,RITE,NASDA,Low Earth,Technology development,In orbit,Operational,2002
,H-IIA 202,FedSat,Centre for Satellite Systems,Low Earth,Communications,In orbit,Operational,2002
,H-IIA 202,WEOS (Kanta-Kun),Chiba Institute of Technology,Low Earth,Whale monitoring,In orbit,Operational,2002
,H-IIA 202,RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC,RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC,RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC,RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC,RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC,RITE deployed by Mu-Labsat on 14 March 2003 at 01:40 and 01:50 UTC,2002
,Ariane 4 44L,NSS-6,SES New Skies,Geosynchronous,Communications,In orbit,Operational,2002
,Dnepr,LatinSat 1,Aprize,Low Earth,Communications,In orbit,Operational,2002
,Dnepr,LatinSat 2,Aprize,Low Earth,Communications,In orbit,Operational,2002
,Dnepr,SaudiSat 1S,RSRI,Low Earth,Communications,In orbit,Operational,2002
,Dnepr,UniSat 2,University of Rome La Sapienza,Low Earth,Technology development,In orbit,Operational,2002
,Dnepr,Rubin 2,OHB System,Low Earth,Communications,In orbit,Operational,2002
,Molniya-M/Blok 2BL,Kosmos 2393 (US-K #82),VKS,Molniya,Missile early warning,22 December 2013,Successful,2002
,Proton-K/DM-2,Kosmos 2394 (GLONASS),KNITs,Medium Earth,Navigation,In orbit,Operational,2002
,Proton-K/DM-2,Kosmos 2395 (GLONASS),KNITs,Medium Earth,Navigation,In orbit,Operational,2002
,Proton-K/DM-2,Kosmos 2396 (GLONASS),KNITs,Medium Earth,Navigation,In orbit,Operational,2002
,Long March 2F,Shenzhou 4,CMSA,Low Earth,Test spacecraft,5 January 2003 11:16,Successful,2002
,Long March 2F,Shenzhou spacecraft orbital module,CMSA,Low Earth,Test spacecraft,9 September 2003,Successful,2002
,Proton-M/Briz-M,Nimiq 2,Telesat,Geosynchronous,Communications,In orbit,Operational,2002
,Titan 23G,Coriolis,US Air Force,Low Earth,Technology development,In orbit,Operational,2003
,Delta II 7320-10C,ICESat,NASA,Low Earth,Oceanography,30 August 2010 09:00[2],Partial spacecraft failure,2003
,Delta II 7320-10C,CHIPSat,NASA,Low Earth,Astrophysics,In orbit,Operational,2003
,Delta II 7320-10C,Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.,Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.,Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.,Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.,Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.,Laser reliability issues limited ICESat operations. ICESat deactivated in February 2010 following failure of last laser in October 2009.,2003
,Space Shuttle Columbia,STS-107,NASA,Low Earth,Research,1 February 13:59,Failure,2003
,Space Shuttle Columbia,Spacehab-RDM,NASA,Low Earth (Columbia),Microgravity and Earth science research,1 February 13:59,Failure,2003
,Space Shuttle Columbia,EDO Pallet,NASA,Low Earth (Columbia),Cryogenic mission duration extension pallet,1 February 13:59,Failure,2003
,Pegasus-XL,SORCE,NASA,Low Earth,investigate total solar irradiance,In orbit,Operational,2003
,Delta II 7925-9.5,GPS IIR-8 (USA-166),US Air Force,Medium Earth,Navigation,In orbit,Operational,2003
,Delta II 7925-9.5,XSS-10,US Air Force,Low Earth,Technology demonstration,In orbit,Successful,2003
,Delta II 7925-9.5,XSS-10 deactivated 30 January 2003,XSS-10 deactivated 30 January 2003,XSS-10 deactivated 30 January 2003,XSS-10 deactivated 30 January 2003,XSS-10 deactivated 30 January 2003,XSS-10 deactivated 30 January 2003,2003
,Soyuz-U,Progress M-47,Roskosmos,Low Earth (ISS),Logistics,27 August,Successful,2003
,Soyuz-U,ISS flight 10P,ISS flight 10P,ISS flight 10P,ISS flight 10P,ISS flight 10P,ISS flight 10P,2003
,Ariane 4 44L,Intelsat 907,Intelsat,Geosynchronous,Communications,In orbit,Operational,2003
,Ariane 4 44L,Final flight of Ariane 4 44L,Final flight of Ariane 4 44L,Final flight of Ariane 4 44L,Final flight of Ariane 4 44L,Final flight of Ariane 4 44L,Final flight of Ariane 4 44L,2003
,Delta IV Medium,DSCS III A-3 (USA-167),US Air Force,Geosynchronous,Communications,In orbit,Operational,2003
,H-IIA 2024,IGS-1A,Japanese Government,Low Earth,Reconnaissance,18 July 2014,Successful,2003
,H-IIA 2024,IGS-1B,Japanese Government,Low Earth,Reconnaissance,26 July 2012,Partial spacecraft failure,2003
,H-IIA 2024,"IGS-1B lost power in 2007, and concluded operations after just over half of its design life","IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]","IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]","IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]","IGS-1B lost power in 2007, and concluded operations after just over half of its design life[3]","IGS-1B lost power in 2007, and concluded operations after just over half of its design life",2003
,Delta II 7925-9.5,GPS IIR-9 (USA-168),US Air Force,Medium Earth,Navigation,In orbit,Operational,2003
,Molniya-M,Molniya 1-92,VKS,Molniya,Communications,In orbit,Operational,2003
,Titan IVB (401)/Centaur,Milstar 6 (USA-169),US Air Force,Geosynchronous,Communications,In orbit,Operational,2003
,Ariane 5G,INSAT 3A,ISRO,Geosynchronous,Communications,In orbit,Operational,2003
,Ariane 5G,Galaxy 12,PanAmSat,Geosynchronous,Communications,In orbit,Operational,2003
,Atlas IIIB,AsiaSat 4,AsiaSat,Geosynchronous,Communications,In orbit,Operational,2003
,Soyuz-FG,Soyuz TMA-2,Roskosmos,Low Earth (ISS),ISS Expedition 7,28 October,Successful,2003
,Proton-K/DM-2,Kosmos 2397,VKS,Geosynchronous,Missile warning,In orbit,Operational,2003
,Pegasus-XL,GALEX,NASA,Low Earth,Ultraviolet astronomy,In orbit,Operational,2003
,GSLV,GSAT-2,ISRO,Geosynchronous,Communications,In orbit,Operational,2003
,M-V,Hayabusa (MUSES-C),ISAS,Heliocentric,Asteroid sample-return probe,13 June 2010,Partial spacecraft failure,2003
,M-V,MINERVA,ISAS,Heliocentric,Asteroid lander,In orbit,Spacecraft failure,2003
,M-V,Explored asteroid 1998 SF36,Explored asteroid 1998 SF36,Explored asteroid 1998 SF36,Explored asteroid 1998 SF36,Explored asteroid 1998 SF36,Explored asteroid 1998 SF36,2003
,Atlas V 401,HellasSat 2,Hellas-Sat,Geosynchronous,Communications,In orbit,Operational,2003
,Atlas V 401,First Greek satellite,First Greek satellite,First Greek satellite,First Greek satellite,First Greek satellite,First Greek satellite,2003
,Soyuz-FG/Fregat,Mars Express,ESA,Areocentric,Mars probe,In orbit,Operational,2003
,Soyuz-FG/Fregat,Beagle 2,ESA,Heliocentric,Mars lander,25 December 2003,Spacecraft failure,2003
,Kosmos-3M,Kosmos 2398,MO RF,Low Earth,,In orbit,Operational,2003
,Proton-K/Briz-M,AMC-9,SES Americom,Geosynchronous,Communications,In orbit,Operational,2003
,Soyuz-U,Progress M1-10,Roskosmos,Low Earth (ISS),Logistics Earth observation,3 October,Successful,2003
,Soyuz-U,ISS flight 11P,ISS flight 11P,ISS flight 11P,ISS flight 11P,ISS flight 11P,ISS flight 11P,2003
,Zenit-3SL,Thuraya 2,Thuraya,Geosynchronous,Communications,In orbit,Operational,2003
,Delta II 7925,Spirit (MER-A/MER-2),NASA,Heliocentric,Mars rover,4 January 2004,Operational,2003
,Delta II 7925,Spirit lander,NASA,Heliocentric,Mars lander,4 January 2004,Successful,2003
,Ariane 5G,Optus C1,Optus/Australian Government,Geosynchronous,Communications,In orbit,Operational,2003
,Ariane 5G,BSAT-2C,BSAT,Geosynchronous,Communications,In orbit,Operational,2003
,Molniya-M,Molniya 3-53,VKS,Molniya,Communications,In orbit,Operational,2003
,Pegasus-XL,Orbview 3,Orbview,Low Earth,Imaging,3 March 2011,Satellite failure,2003
,Pegasus-XL,Ceased operations on 4 March 2007 after camera malfunction,Ceased operations on 4 March 2007 after camera malfunction,Ceased operations on 4 March 2007 after camera malfunction,Ceased operations on 4 March 2007 after camera malfunction,Ceased operations on 4 March 2007 after camera malfunction,Ceased operations on 4 March 2007 after camera malfunction,2003
,Rokot/Briz-KM,QuakeSat,Stanford University,Low Earth,Earth observation,In orbit,Operational,2003
,Delta II 7925H,Opportunity (MER-B/MER-1),NASA,Heliocentric,Mars rover,In orbit,Operational,2003
,Delta II 7925H,Opportunity lander,NASA,Heliocentric,Mars lander,In orbit,Successful,2003
,Atlas V 521,Rainbow-1,Cablevision,Geosynchronous,Communications,In orbit,Operational,2003
,Zenit-3SL,Echostar 9 (Telstar 13),EchoStar,Geosynchronous,Communications,In orbit,Operational,2003
,Soyuz-U,Film capsule failed to deorbit,Film capsule failed to deorbit,Film capsule failed to deorbit,Film capsule failed to deorbit,Film capsule failed to deorbit,Film capsule failed to deorbit,2003
,Pegasus-XL,SCISAT-1,CSA,Low Earth,Atmospheric research,In orbit,Operational,2003
,VLS-1,SATEC,INPE,Intended: Low Earth,Launch vehicle evaluation,Never left ground,Precluded,2003
,VLS-1,UNOSAT,INPE,Intended: Low Earth,,Never left ground,Precluded,2003
,VLS-1,"Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.","Solid rocket booster ignition 3 days before the launch resulted in the catastrophic explosion, destroying the launch pad and killing 21 people. VLS-1 never had a new attempt and its development was extinguished in 2016.",2003
,Delta II 7920H,Spitzer Space Telescope (SIRTF),NASA,Heliocentric,Infrared astronomy,In orbit,Operational,2003
,Soyuz-U,Progress M-48,Roskosmos,Low Earth (ISS),Logistics,28 January 2004,Successful,2003
,Soyuz-U,ISS flight 12P,ISS flight 12P,ISS flight 12P,ISS flight 12P,ISS flight 12P,ISS flight 12P,2003
,Delta IV Medium,DSCS III B-6 (USA-170),US Air Force,Geosynchronous,Communications,In orbit,Operational,2003
,Titan IVB (401)/Centaur,USA-171 / Orion 5,NRO,Geosynchronous,ELINT,In orbit,Operational,2003
,Titan IVB (401)/Centaur,NROL-26 mission.,NROL-26 mission.,NROL-26 mission.,NROL-26 mission.,NROL-26 mission.,NROL-26 mission.,2003
,Kaituozhe-1,Fourth stage failed to ignite,Fourth stage failed to ignite,Fourth stage failed to ignite,Fourth stage failed to ignite,Fourth stage failed to ignite,Fourth stage failed to ignite,2003
,Kosmos-3M,NigeriaSat-1 is the first Nigerian satellite,NigeriaSat-1 is the first Nigerian satellite,NigeriaSat-1 is the first Nigerian satellite,NigeriaSat-1 is the first Nigerian satellite,NigeriaSat-1 is the first Nigerian satellite,NigeriaSat-1 is the first Nigerian satellite,2003
,Ariane 5G,Eurobird 3,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2003
,Ariane 5G,INSAT 3E,ISRO,Geosynchronous,Communications,In orbit,Successful,2003
,Ariane 5G,SMART-1,ESA,Selenocentric,Lunar probe,27 September 2006 05:42:22,Successful,2003
,Ariane 5G,Final flight of Ariane 5G,Final flight of Ariane 5G,Final flight of Ariane 5G,Final flight of Ariane 5G,Final flight of Ariane 5G,Final flight of Ariane 5G,2003
,Zenit-3SL,Galaxy 13 (Horizons 1),PanAmSat,Geosynchronous,Communications,In orbit,operational,2003
,Long March 2F,Shenzhou 5,CMSA,Low Earth,,15 October 22:53,Successful,2003
,Long March 2F,Shenzhou spacecraft orbital module,CMSA,Low Earth,Reconnaissance,30 May 2004,Successful,2003
,PSLV,RESOURCESAT-1 (IRS-P6),ISRO,Low Earth,Earth observation,In orbit,Operational,2003
,Soyuz-FG,Soyuz TMA-3,Roskosmos,Low Earth (ISS),ISS Expedition 8,30 April 2004,Successful,2003
,Titan 23G/Star 37,DMSP 5D-2 (USA-172),US Air Force,Low Earth,Weather satellite,In orbit,Operational,2003
,Titan 23G/Star 37,Final flight of Titan 23G,Final flight of Titan 23G,Final flight of Titan 23G,Final flight of Titan 23G,Final flight of Titan 23G,Final flight of Titan 23G,2003
,Long March 4B,Zi Yuan 1-2 (CBERS-2),CAAC/INPE,Low Earth,Earth resources,In orbit,Operational,2003
,Long March 4B,Chuangxin-1,CAS,Low Earth,Communications,In orbit,Operational,2003
,Long March 2D,FSW-18 (FSW-3),SAST,Low Earth,Imaging,18 December,Successful,2003
,Proton-K/DM-2M,Yamal-201,Gazprom,Geosynchronous,Communications,In orbit,Operational,2003
,Proton-K/DM-2M,Yamal 202,Gazprom,Geosynchronous,Communications,In orbit,Operational,2003
,H-IIA 2024,IGS-2A,Japanese Government,Low Earth,Reconnaissance,T+60 seconds,Launch failure,2003
,H-IIA 2024,SRB failed to separate. Destroyed by RSO.,SRB failed to separate. Destroyed by RSO.,SRB failed to separate. Destroyed by RSO.,SRB failed to separate. Destroyed by RSO.,SRB failed to separate. Destroyed by RSO.,SRB failed to separate. Destroyed by RSO.,2003
,Atlas IIAS,NOSS-3 (USA-173),NRO,Low Earth,Naval SIGINT,In orbit,Operational,2003
,Atlas IIAS,NOSS-3 (USA-173),NRO,Low Earth,Naval SIGINT,In orbit,Operational,2003
,Atlas IIAS,NRO launch 18,NRO launch 18,NRO launch 18,NRO launch 18,NRO launch 18,NRO launch 18,2003
,Proton-K/Briz-M,Kosmos 2402 (GLONASS),KNITs,Medium Earth,Navigation,In orbit,Operational,2003
,Proton-K/Briz-M,Kosmos 2403 (GLONASS),KNITs,Medium Earth,Navigation,In orbit,Operational,2003
,Proton-K/Briz-M,Kosmos 2404 (GLONASS),KNITs,Medium Earth,Navigation,In orbit,Operational,2003
,Atlas IIIB,UHF F/O F11 (USA-174),US Navy,Geosynchronous,Communications,In orbit,Operational,2003
,Delta II 7925-9.5,GPS IIR-10 (USA-175),US Air Force,Medium Earth,Navigation,In orbit,Operational,2003
,Soyuz-FG/Fregat,AMOS-2,Spacecom,Geosynchronous,Communications,In orbit,Operational,2003
,Proton-K/DM-2M,Ekspress AM22,RSCC,Geosynchronous,Communications,In orbit,Operational,2003
,Long March 2C,Tan Ce 1 (Double Star 1),CNSA/ESA,High Earth (High-eccentricity),Magnetosphere research,14 October 2007,Successful,2003
,Zenit-3SL,"One of the payload's solar panels did not deploy, and several transponders were disabled. Its replacement, Telstar 14R, launched in 2011, suffered a similar issue.","One of the payload's solar panels did not deploy, and several transponders were disabled. Its replacement, Telstar 14R, launched in 2011, suffered a similar issue.","One of the payload's solar panels did not deploy, and several transponders were disabled. Its replacement, Telstar 14R, launched in 2011, suffered a similar issue.","One of the payload's solar panels did not deploy, and several transponders were disabled. Its replacement, Telstar 14R, launched in 2011, suffered a similar issue.","One of the payload's solar panels did not deploy, and several transponders were disabled. Its replacement, Telstar 14R, launched in 2011, suffered a similar issue.","One of the payload's solar panels did not deploy, and several transponders were disabled. Its replacement, Telstar 14R, launched in 2011, suffered a similar issue.",2004
